2452573.8542,10.3,0,,,Vis.,JA,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452574.5756,9.98,0,,,V,LIW,Y,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452575.925,10.9,0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,V4744 SGR,,STD,,,,
2452576.4889,10.5,0,,,Vis.,MRV,TZ,102,103,SB10/02,,,,V,,,,V4744 SGR,,STD,,,,
2452576.8722,11.1,0,,,Vis.,JA,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452576.9639,11.1,0,,,V,HDJ,A,79,92,174123B,,,,V,,,,V4744 SGR,,STD,,,,
2452576.9694,10.9,0,,,V,HDJ,A,79,92,174123B,,,,V,,,,V4744 SGR,,STD,,,,
2452578.0,11.2,0,,,Vis.,PEX,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452578.0674,10.5,0,,,Vis.,TDB,,92,102,SB02,,,,V,,,,V4744 SGR,,STD,,,,
2452578.9271,10.6,0,,,V,HDJ,A,92,79,1741-23B,,,,V,,,,V4744 SGR,,STD,,,,
2452582.0035,11.3,0,,,Vis.,PEX,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452583.4806,10.8,0,,,Vis.,TDB,,102,92,SB02,,,,V,,,,V4744 SGR,,STD,,,,
2452583.8847,10.8,0,,,Vis.,JA,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452583.9,10.5,0,,,Vis.,CR,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452583.9111,10.8,0,,,V,HDJ,A,92,,174123B,,,,V,,,,V4744 SGR,,STD,,,,
2452584.9,10.5,0,,,Vis.,TNX,KW,na,,na,RASNZ ARCHIVAL,0,,Z,,,,V4744 SGR,,STD,,,,RASNZ
2452584.9444,10.8,0,,,V,HDJ,A,92,,174123B,,,,V,,,,V4744 SGR,,STD,,,,
2452585.253,11.0,0,,,Vis.,SJX,,,,AAVSO,,,,V,,,,V4744 SGR,,STD,,,,
2452588.8847,10.9,0,,,Vis.,JA,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2452589.5157,11.24,0,,,V,WJD,,923,1060,K,,,,V,,,,V4744 SGR,,STD,,,,
2452592.4653,11.4,0,,,Vis.,AAX,MT,1137,,-,,,,V,,,,V4744 SGR,,STD,,,,
2452592.8688,10.7,1,,,Vis.,JA,WZ,,,,,,,V,,,,V4744 SGR,,STD,,,,
2453579.0,10.5,0,,,Vis.,CR,,,,,,,,V,,,,V4744 SGR,,STD,,,,
2453589.0,10.5,0,,,Vis.,CR,,,,,,,,V,,,,V4744 SGR,,STD,,,,
