FILENAME,WAVE COL NUM,FLUX COL NUM,FLUX ERR COL NUM,FLUX UNITS,DATE,OBSERVER,TELESCOPE,INSTRUMENT,DISPERSION,WAVE RANGE 1,WAVE RANGE 2
V2295OPC_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2449164.5755208335,Williams,CTIO 1 m,2D-Frutti,8.27375602722172,2998.57177734376,7722.886468887363
V2295OPA_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2449098.703310185,Williams,CTIO 1 m,2D-Frutti,3.570645,3214.807,7463.8745499999995
V2295OPB_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2449105.847372685,Williams,CTIO 1 m,2D-Frutti,7.850702,3305.0,10464.840224
