2443778.642,8.48,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443780.582,8.89,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443780.584,8.93,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443780.585,8.95,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443786.573,9.2,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443786.573,9.12,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443791.506,9.54,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443791.51,9.54,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443791.59,9.59,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443802.53,10.21,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443802.531,10.23,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
2443809.565,10.36,B,0,Goddard Space Flight Center 30 cm Reflector,Anthony D. Mallama,Johnson-Cousins
