2452142.37,7.8,0,,,Vis.,HUR,K,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.37,7.7,0,,,Vis.,OJR,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.372,7.6,0,,,Vis.,CMG,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.372,7.9,0,,,Vis.,PUJ,,73,81,PB0801,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.3722,7.7,0,,,Vis.,RMQ,,73,80,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.3736,7.8,0,,,Vis.,REP,K,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.377,7.8,0,,,Vis.,PYG,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.3819,6.7,0,,,V,RZD,,108,,AAVSO,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.3958,7.9,0,,,Vis.,CVJ,,75,81,2059+48,,,,V,,,,V2275 CYG,,STD,,,,
2452142.396,8.0,0,,,Vis.,DBQ,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.396,8.0,0,,,Vis.,TEM,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.3993,8.1,0,,,Vis.,KHL,,81,82,ALERT287,      =,,,V,,,,V2275 CYG,,STD,,,,
2452142.4,7.9,0,,,Vis.,VDE,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.4034,8.0,0,,,Vis.,VOL,A,81,,AAVSO AT,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.4132,7.6,0,,,Vis.,CCU,T,00,00,TYCHO,,,,V,,,,V2275 CYG,,STD,,,,
2452142.4271,7.8,0,,,Vis.,DPV,T,77,80,RJB,=,,,V,,,,V2275 CYG,,STD,,,,
2452142.4479,8.1,0,,,Vis.,CNP,,73,86,PRELIM B,,,,V,,,,V2275 CYG,,STD,,,,
2452142.4514,7.8,0,,,Vis.,CAI,V,75,81,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.4722,7.9,0,,,Vis.,RJG,V,75,81,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.5194,7.9,0,,,Vis.,SSW,T,73,81,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.549,8.0,0,,,Vis.,MPP,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.5514,7.7,0,,,Vis.,KMA,,75,79,PAB8/01,,,,V,,,,V2275 CYG,,STD,,,,
2452142.5597,8.2,0,,,Vis.,BXA,,,,,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.5831,6.37,0,,,R,WJD,J, 809,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.585,7.7,0,,,Vis.,SPK,,,,,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.585,8.1,0,,,Vis.,SPK,,,,,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452142.5884,5.52,0,,,I,WJD,J, 807,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.5889,8.2,0,,,Vis.,BRJ,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.589,8.0,0,,,Vis.,BMU,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.5899,7.62,0,,,V,WJD,J, 812,,,,,,V,,,,V2275 CYG,,STD,,,,
2452142.5924,8.3,0,,,Vis.,TDB,,82,81,PB01,,,,V,,,,V2275 CYG,,STD,,,,
2452142.6,8.2,0,,,Vis.,VDE,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.618,8.2,0,,,Vis.,LTO,,8.0/8.6,,P/B/2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.6271,8.1,0,,,Vis.,BVE,TY,80,86,CHARTBMU,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.6319,8.2,0,,,Vis.,WI,,81,86,PB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.634,8.4,0,,,Vis.,CMG,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452142.6479,8.2,0,,,Vis.,KRB,Y,79,81,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.7173,8.2,0,,,Vis.,AAP,,81,82,PAB8/01,,,,V,,,,V2275 CYG,,STD,,,,
2452142.7451,8.0,0,,,Vis.,HUZ,,79,81,PAB01,,,,V,,,,V2275 CYG,,STD,,,,
2452142.7743,8.1,0,,,Vis.,BJS,,79,81,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452142.7924,8.0,0,,,Vis.,SXN,TY,80,77,TYCHO,FADING,,,V,,,,V2275 CYG,,STD,,,,
2452142.8840,8.1,0,,,Vis.,MRV,,81,82,PB2001,821010913,,,V,,,,V2275 CYG,,STD,,,,
2452143.2563,8.4,0,,,Vis.,MAV,B,81,86,PB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3,8.4,0,,,Vis.,KIS,K,,,,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452143.3055,8.4,0,,,Vis.,HSB,,81,82,PB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3208,8.05,0,,,V,CRI,G,941,1059,GSC SEQU,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3340,8.5,0,,,Vis.,RMQ,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3403,8.5,0,,,Vis.,CAU,,82,86,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3403,8.4,0,,,Vis.,CCU,T,00,00,TYCHO,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3410,8.4,0,,,Vis.,DPA,,8.0  8.2,,PA0801,N CYG,,,V,,,,V2275 CYG,,STD,,,,
